City,Pincode,Has Cod,Has Prepaid,Has Reverse,Shiprocket Delivery Zone,Routing Code,State
Gangapur,322209,1,1,1,z_d,N/S-11/8B/209,RAJASTHAN
SAWAI MADHOPUR,322211,1,1,1,z_d,,RAJASTHAN
KARAULI,322212,1,1,1,z_d,,RAJASTHAN
KARAULI,322213,1,1,1,z_d,,RAJASTHAN
SAWAI MADHOPUR,322214,1,1,1,z_d,,RAJASTHAN
KARAULI,322215,1,1,1,z_d,,RAJASTHAN
KARAULI,322216,1,1,1,z_d,,RAJASTHAN
Gangapur,322217,1,1,1,z_d,N/S-11/8B/217,RAJASTHAN
KARAULI,322218,1,1,1,z_d,,RAJASTHAN
Gangapur,322219,1,1,1,z_d,JAI/CRL,RAJASTHAN
KARAULI,322220,1,1,1,z_d,,RAJASTHAN
NADOTI,322221,1,1,1,z_d,RJ/JAH/NAD,RAJASTHAN
NADOTI,322222,1,1,1,z_d,RJ/JAH/NAD,RAJASTHAN
NADOTI,322223,1,1,1,z_d,RJ/JAH/NAD,RAJASTHAN
NADOTI,322224,1,1,1,z_d,RJ/JAH/NAD,RAJASTHAN
Hindaun,322228,1,1,1,z_d,N/S-11/7C/228,RAJASTHAN
Hindaun,322230,1,1,1,z_d,HND/EKL,RAJASTHAN
Hindaun,322231,1,1,1,z_d,N/S-11/7C/231,RAJASTHAN
Hindaun,322232,1,1,1,z_d,HND/EKL,RAJASTHAN
KARAULI,322233,1,1,1,z_d,N/S-11/7B/233,RAJASTHAN
Hindaun,322234,1,1,1,z_d,HND/EKL,RAJASTHAN
Hindaun,322235,1,1,1,z_d,N/S-11/7C/235,RAJASTHAN
Hindaun,322236,1,1,1,z_d,HND/EKL,RAJASTHAN
Hindaun,322238,1,1,1,z_d,JAI/CRL,RAJASTHAN
Mahwa,322240,1,1,1,z_d,MHW/BRJ,RAJASTHAN
Karauli,322241,1,1,1,z_d,None,RAJASTHAN
KARAULI,322242,1,1,1,z_d,,RAJASTHAN
KARAULI,322243,1,1,1,z_d,,RAJASTHAN
KHANDAR,322244,1,1,1,z_d,RJ/JWH/KHD,RAJASTHAN
Karauli,322245,1,1,1,z_d,None,RAJASTHAN
KHANDAR,322246,1,1,1,z_d,RJ/JWH/KHD,RAJASTHAN
KHANDAR,322247,1,1,1,z_d,RJ/JWH/KHD,RAJASTHAN
KARAULI,322248,1,1,1,z_d,N/S-11/7B/248,RAJASTHAN
Karauli,322249,1,1,1,z_d,None,RAJASTHAN
KARAULI,322251,1,1,1,z_d,,RAJASTHAN
Hindaun,322252,1,1,1,z_d,HND/EKL,RAJASTHAN
Hindaun,322254,1,1,1,z_d,HND/EKL,RAJASTHAN
Karauli,322255,1,1,1,z_d,None,RAJASTHAN
KARAULI,322327,1,1,1,z_d,N/S-11/7B/327,RAJASTHAN
Sawai Madhopur,322701,1,1,1,z_d,JAI/BGI,RAJASTHAN
Sawai Madhopur,322702,1,1,1,z_d,JAI/BGI,RAJASTHAN
SAWAI MADHOPUR,322703,1,1,1,z_d,,RAJASTHAN
SAWAI MADHOPUR,322704,1,1,1,z_d,,RAJASTHAN
Bundi,323001,1,1,1,z_d,KTU/TRN,RAJASTHAN
Bundi,323021,1,1,1,z_d,KTU/TRN,RAJASTHAN
BUNDI,323022,1,1,1,z_d,,RAJASTHAN
Bundi,323023,1,1,1,z_d,KTU/TRN,RAJASTHAN
Bundi,323024,1,1,1,z_d,KTA/TRP,RAJASTHAN
BUNDI,323025,1,1,1,z_d,,RAJASTHAN
Bundi,323026,1,1,1,z_d,KTA/TRP,RAJASTHAN
